record_identifier,issue_type,issue_detail,action_taken
ORD004386,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD004580,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD004676,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD004736,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD004777,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD004884,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD004902,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD004909,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD005000,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD005239,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD005651,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD005658,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD006261,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD006284,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD006597,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD007291,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD007427,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD007474,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD007696,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD007799,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD007902,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD008130,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD008142,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD008162,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD008258,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD008353,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD008677,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD008755,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD009095,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD009405,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD009544,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD009550,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD009688,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD009695,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD009735,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD009905,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD009917,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD009939,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD009950,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD010008,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD010009,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD010026,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD010070,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD010115,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD010229,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD010443,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD010591,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD011465,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD011699,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD011747,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD011844,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD011918,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD012022,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD012124,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD013027,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD013348,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD014041,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD014271,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD014452,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD014542,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD014593,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD014744,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD014809,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD015449,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD015581,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD015677,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD015778,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD016134,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD016360,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD016487,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD016629,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD017019,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD017072,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD017366,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD018274,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD018870,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD018910,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD019868,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD020108,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD020622,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD020821,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD021305,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD021408,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD021433,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD021829,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD022380,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD022548,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD023019,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD023087,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD023912,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD023991,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD024476,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD026976,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD028225,DUPLICATE_ID,Duplicate order_id - multiple transactions,DROPPED
ORD000030,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD000093,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD000126,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD000135,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD000168,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD000210,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD000214,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD000241,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD000478,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD000501,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD000512,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD000518,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD000718,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD000745,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD000857,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD000862,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD000891,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD000991,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD001132,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD001274,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD001276,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD001296,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD001339,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD001456,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD001481,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD001534,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD001629,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD001733,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD001781,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD001789,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD001817,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD001841,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD001857,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD001896,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD002043,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD002175,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD002236,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD002272,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD002294,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD002361,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD002383,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD002414,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD002476,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD002513,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD002530,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD002546,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD002810,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD002886,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD002907,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD002910,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD002931,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD002961,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD003123,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD003149,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD003158,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD003343,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD003392,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD003491,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD003564,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD003738,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD003746,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD003875,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD003939,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD003957,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD004011,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD004074,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD004109,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD004182,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD004252,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD004317,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD004362,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD004365,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD004486,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD004562,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD004568,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD004584,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD004607,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD004657,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD004765,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD004918,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD004921,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD004990,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD005109,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD005364,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD005387,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD005514,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD005573,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD005598,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD005728,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD005798,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD005822,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD005886,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD005943,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD006024,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD006030,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD006088,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD006213,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD006221,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD006248,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD006400,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD006424,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD006431,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD006475,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD006511,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD006569,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD006611,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD006624,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD006714,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD006718,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD006811,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD006838,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD007025,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD007041,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD007057,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD007115,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD007143,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD007276,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD007406,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD007545,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD007562,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD007573,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD007817,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD007830,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD007996,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD008072,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD008169,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD008207,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD008266,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD008311,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD008418,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD008471,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD008485,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD008636,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD008698,INVALID_TIMESTAMP,Corrupted timestamp: 99/99/9999,DROPPED
ORD008704,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD008726,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD008732,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD008794,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD008824,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD008855,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD008989,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD009063,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD009064,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD009183,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD009239,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD009287,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD009304,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD009448,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD009466,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD009503,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD009541,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD009559,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD009576,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD009580,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD009644,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD009719,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD009725,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD009730,INVALID_TIMESTAMP,Corrupted timestamp: not_a_time,DROPPED
ORD009783,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD009882,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD009887,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD009909,INVALID_TIMESTAMP,Corrupted timestamp: 2024-13-45,DROPPED
ORD009985,INVALID_TIMESTAMP,Corrupted timestamp: invalid,DROPPED
ORD010136,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
ORD010188,INVALID_TIMESTAMP,Corrupted timestamp: 2024-02-30 25:99:99,DROPPED
