product_id,category,brand,base_price_aed,unit_cost_aed,tax_rate,launch_flag
P0160,Toys,LG,3152.96,2019.72,0.05,Regular
P0161,Grocery,Noon,1052.51,663.34,0.05,Regular
P0162,Home & Kitchen,Carrefour,438.66,180.65,0.05,Regular
P0163,Electronics,Noon,1509.44,1015.68,0.05,Regular
P0164,Books,Nike,853.18,565.61,0.05,Regular
P0165,Beauty,Nike,1077.88,586.96,0.05,Regular
P0166,Sports,Apple,1923.33,1204.48,0.05,Regular
P0167,Books,Zara,1513.1,611.56,0.05,Regular
P0168,Toys,Sony,2741.31,1577.26,0.05,Regular
P0169,Sports,Apple,2749.35,1610.75,0.05,Regular
P0170,Sports,Noon,935.47,605.4,0.05,Regular
P0171,Beauty,Carrefour,1683.18,1151.09,0.05,Regular
P0172,Toys,Apple,438.77,193.37,0.05,Regular
P0173,Books,Noon,3019.08,1583.4,0.05,New
P0174,Toys,Noon,1682.46,689.5,0.05,Regular
P0175,Toys,H&M,3852.22,1655.71,0.05,Regular
P0176,Sports,Samsung,1642.56,717.22,0.05,Regular
P0177,Toys,Apple,2701.07,1564.31,0.05,New
P0178,Sports,Adidas,4005.28,1848.68,0.05,Regular
P0179,Grocery,Noon,913.81,455.6,0.05,New
P0180,Electronics,LG,3483.62,1529.3,0.05,Regular
P0181,Home & Kitchen,Apple,2694.23,1089.7,0.05,Regular
P0182,Grocery,Noon,1345.09,559.18,0.05,Regular
P0183,Fashion,Lulu,304.23,154.73,0.05,Regular
P0184,Toys,Zara,936.2,578.73,0.05,Regular
P0185,Beauty,H&M,2623.36,1835.24,0.05,Regular
P0186,Books,Carrefour,481.85,256.86,0.05,Regular
P0187,Sports,Noon,643.34,377.83,0.05,Regular
P0188,Sports,Puma,4028.51,2159.74,0.05,Regular
P0189,Fashion,Lulu,507.66,336.74,0.05,Regular
P0190,Grocery,Puma,1856.22,931.23,0.05,Regular
P0191,Books,Lulu,430.34,258.0,0.05,Regular
P0192,Home & Kitchen,Carrefour,3741.94,2430.51,0.05,New
P0193,Fashion,Lulu,3005.18,1703.67,0.05,Regular
P0194,Sports,Carrefour,538.93,323.14,0.05,Regular
P0195,Electronics,LG,2451.64,1405.71,0.05,Regular
P0196,Toys,Adidas,3439.1,1949.56,0.05,New
P0197,Beauty,Noon,954.64,542.51,0.05,Regular
P0198,Electronics,Noon,3766.34,1808.73,0.05,Regular
P0199,Beauty,Sony,1454.09,644.13,0.05,Regular
P0200,Fashion,Nike,3013.88,1288.52,0.05,Regular
P0201,Books,Puma,1864.58,920.15,0.05,Regular
P0202,Fashion,Samsung,672.32,278.96,0.05,New
P0203,Toys,Carrefour,1746.06,915.38,0.05,Regular
P0204,Fashion,Sony,1769.65,1068.06,0.05,Regular
P0205,Beauty,Samsung,932.07,388.15,0.05,Regular
P0206,Grocery,Nike,3106.64,1354.48,0.05,Regular
P0207,Books,Nike,566.74,265.82,0.05,Regular
P0208,Sports,Apple,1638.28,869.71,0.05,Regular
P0209,Fashion,Sony,2353.04,1442.06,0.05,Regular
P0210,Fashion,Puma,133.43,85.45,0.05,Regular
P0211,Sports,Apple,1796.85,953.59,0.05,Regular
P0212,Fashion,Puma,3532.1,1647.62,0.05,Regular
P0213,Fashion,Zara,2582.9,1183.41,0.05,Regular
P0214,Sports,Lulu,3882.89,1725.2,0.05,New
P0215,Beauty,Adidas,744.0,467.04,0.05,New
P0216,Toys,H&M,3067.78,1640.25,0.05,Regular
P0217,Sports,Carrefour,1314.56,710.75,0.05,Regular
P0218,Beauty,Noon,274.69,135.46,0.05,Regular
P0219,Electronics,Sony,3376.79,2226.23,0.05,Regular
P0220,Books,H&M,2371.32,1474.19,0.05,New
P0221,Grocery,Sony,2470.02,1697.69,0.05,Regular
P0222,Sports,Lulu,387.32,159.48,0.05,Regular
P0223,Toys,Zara,2140.99,1095.88,0.05,Regular
P0224,Books,Sony,2765.59,1629.67,0.05,Regular
P0225,Sports,Apple,2281.85,1085.24,0.05,Regular
P0226,Home & Kitchen,Sony,376.01,253.82,0.05,Regular
P0227,Books,Nike,2430.16,1197.76,0.05,Regular
P0228,Sports,Nike,2730.47,1697.35,0.05,Regular
P0229,Fashion,Carrefour,2731.82,1107.67,0.05,Regular
P0230,Grocery,Sony,3840.67,1797.29,0.05,New
P0231,Fashion,LG,3427.71,2163.78,0.05,Regular
P0232,Electronics,Carrefour,1397.06,613.75,0.05,Regular
P0233,Home & Kitchen,Nike,3375.38,2169.4,0.05,Regular
P0234,Toys,Samsung,1693.43,798.04,0.05,Regular
P0235,Beauty,Lulu,3185.2,1502.62,0.05,Regular
P0236,Toys,Adidas,1521.36,1057.85,0.05,Regular
P0237,Beauty,Puma,2061.63,924.88,0.05,Regular
P0238,Home & Kitchen,LG,258.72,132.3,0.05,Regular
P0239,Fashion,LG,385.5,206.16,0.05,Regular
P0240,Books,Apple,3835.65,2053.37,0.05,Regular
P0241,Electronics,Puma,263.03,123.82,0.05,Regular
P0242,Sports,Adidas,162.75,106.07,0.05,Regular
P0243,Home & Kitchen,Nike,203.21,110.09,0.05,Regular
P0244,Toys,H&M,2511.39,1018.87,0.05,Regular
P0245,Home & Kitchen,Zara,3810.9,2008.25,0.05,Regular
P0246,Grocery,LG,537.39,317.97,0.05,Regular
P0247,Fashion,Apple,3396.75,1904.95,0.05,Regular
P0248,Grocery,Lulu,624.31,364.87,0.05,Regular
P0249,Books,Nike,2707.49,1874.66,0.05,New
P0250,Electronics,Puma,3543.33,1828.59,0.05,Regular
P0251,Electronics,Sony,3204.08,1986.15,0.05,Regular
P0252,Sports,Nike,227.34,146.42,0.05,Regular
P0253,Toys,Lulu,1964.12,865.11,0.05,Regular
P0254,Toys,Samsung,1223.77,562.74,0.05,New
P0255,Beauty,Zara,1642.9,890.48,0.05,New
P0256,Grocery,LG,1477.9,975.03,0.05,Regular
P0257,Fashion,Sony,1797.81,956.29,0.05,Regular
P0258,Sports,Nike,2034.81,1378.16,0.05,Regular
P0259,Fashion,Lulu,1748.0,1221.03,0.05,Regular
P0260,Beauty,Sony,460.39,224.99,0.05,Regular
P0261,Books,Nike,2809.06,1159.32,0.05,Regular
P0262,Sports,Noon,4042.6,2805.6,0.05,Regular
P0263,Fashion,Carrefour,2600.05,1664.89,0.05,Regular
P0264,Electronics,Nike,3444.68,1830.68,0.05,New
P0265,Grocery,Carrefour,1515.31,863.99,0.05,Regular
P0266,Toys,Sony,1538.05,880.04,0.05,Regular
P0267,Books,Sony,2648.24,1149.43,0.05,Regular
P0268,Toys,Zara,1597.95,764.67,0.05,Regular
P0269,Toys,Adidas,4035.46,2723.71,0.05,Regular
P0270,Fashion,Nike,3461.31,2317.71,0.05,Regular
P0271,Fashion,Carrefour,3920.24,2353.52,0.05,Regular
P0272,Beauty,LG,3455.45,2343.48,0.05,Regular
P0273,Sports,Zara,946.97,603.81,0.05,Regular
P0274,Toys,Samsung,1493.59,806.87,0.05,Regular
P0275,Home & Kitchen,Noon,3586.99,1863.25,0.05,Regular
P0276,Toys,Zara,1693.18,969.3,0.05,New
P0277,Sports,Carrefour,346.66,192.47,0.05,New
P0278,Home & Kitchen,Nike,1780.47,741.79,0.05,New
P0279,Home & Kitchen,LG,708.63,434.25,0.05,Regular
P0280,Beauty,Apple,1052.42,594.88,0.05,New
P0281,Beauty,Noon,2183.91,984.05,0.05,Regular
P0282,Home & Kitchen,Nike,2684.93,1561.4,0.05,Regular
P0283,Electronics,Samsung,374.89,236.67,0.05,Regular
P0284,Grocery,Noon,1716.35,942.98,0.05,Regular
P0285,Beauty,Carrefour,3876.6,2486.48,0.05,Regular
P0286,Beauty,H&M,341.89,181.85,0.05,Regular
P0287,Grocery,Sony,2476.64,1524.39,0.05,Regular
P0288,Sports,Puma,573.06,325.78,0.05,Regular
P0289,Toys,Apple,1119.89,480.48,0.05,Regular
P0290,Books,Noon,1722.54,1155.3,0.05,Regular
P0291,Sports,Adidas,3102.49,1720.07,0.05,Regular
P0292,Beauty,H&M,142.71,78.72,0.05,Regular
P0293,Grocery,Noon,1461.58,801.63,0.05,Regular
P0294,Toys,LG,2196.76,1162.7,0.05,Regular
P0295,Sports,Puma,1513.75,864.48,0.05,Regular
P0296,Beauty,Apple,1595.4,901.33,0.05,Regular
P0297,Fashion,Nike,3950.33,2522.16,0.05,Regular
P0298,Sports,Nike,846.23,465.45,0.05,New
P0299,Home & Kitchen,Lulu,1382.16,742.35,0.05,Regular
P0300,Home & Kitchen,Sony,3775.47,1955.26,0.05,Regular
